Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56200014,Nigdy dość. Mózg a uzależnienia,Judith Grisel,"Grisel, Judith",,"=""""","=""9788381880589""",0,4.11,,Paperback,272,2020,2019,,2022/08/18,"to-read, non-fiction, popularnonaukowe","to-read (#2483), non-fiction (#510), popularnonaukowe (#135)",to-read,,,,0,0
256008,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"McMurtry, Larry",,"=""067168390X""","=""9780671683900""",0,4.51,Pocket Books,Paperback,960,1999,1985,,2022/08/17,"to-read, fiction","to-read (#2482), fiction (#243)",to-read,,,,0,0
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",0,4.06,Crown Business,Hardcover,260,2014,2011,,2018/12/19,"to-read, growth-other-selfhelp, ekologia","to-read (#389), growth-other-selfhelp (#59), ekologia (#24)",to-read,,,,0,0
7370529,Wyznania gorszycielki,Irena Krzywicka,"Krzywicka, Irena",,"=""8307022614""","=""9788307022611""",0,4.35,Czytelnik,Hardcover,436,1992,1992,,2022/08/16,"to-read, women-patriarchy, non-fiction","to-read (#2480), women-patriarchy (#202), non-fiction (#509)",to-read,,,,0,0
60174160,"Co ci się przydarzyło? Rozmowy o traumie, odporności psychicznej i zdrowieniu",Bruce D. Perry,"Perry, Bruce D.","Oprah Winfrey, Katarzyna Mojkowska","=""8326838772""","=""9788326838774""",0,4.47,Agora S.A.,Paperback,344,2022,2021,,2022/08/16,"to-read, growth-other-selfhelp, zdrowie-psychika-ciało","to-read (#2478), growth-other-selfhelp (#72), zdrowie-psychika-ciało (#112)",to-read,,,,0,0
25100,The Sandman Vol. 3: Dream Country,Neil Gaiman,"Gaiman, Neil","Kelley Jones, Charles Vess, Colleen Doran, Malcolm Jones III, Steve Erickson","=""156389226X""","=""9781563892264""",4,4.24,DC Comics,Hardcover,111,1999,1990,2022/08/16,2022/07/16,2022,2022 (#35),read,,,,1,0
58724926,"When They Win, You Win: Being a Great Manager Is Simpler Than You Think",Russ Laraway,"Laraway, Russ",,"=""1250279666""","=""9781250279668""",0,4.27,St. Martin's Press,Hardcover,296,2022,2022,,2022/08/16,"to-read, growth-other-selfhelp, non-fiction","to-read (#2477), growth-other-selfhelp (#71), non-fiction (#507)",to-read,,,,0,0
45015596,Hue 1968. Wietnam we krwi,Mark Bowden,"Bowden, Mark",,"=""""","=""""",0,4.32,Wydawnictwo Poznańskie,Hardcover,639,2019,2017,,2022/08/15,"to-read, historia, non-fiction","to-read (#2476), historia (#112), non-fiction (#506)",to-read,,,,0,0
58518222,How the Word Is Passed: A Reckoning with the History of Slavery Across America (Language Acts and Worldmaking),Clint   Smith,"Smith, Clint",,"=""0349701172""","=""9780349701172""",0,4.73,,Hardcover,,2021,2021,,2022/08/14,"to-read, amazon, non-fiction, owned, usa","to-read (#2475), amazon (#131), non-fiction (#505), owned (#1140), usa (#36)",to-read,,,,0,0
54246153,"We Own This City: A True Story of Crime, Cops and Corruption in an American City",Justin Fenton,"Fenton, Justin",,"=""0571356613""","=""9780571356614""",0,4.27,Faber & Faber,Paperback,352,2021,2021,,2022/05/16,"to-read, non-fiction, reportaże-biografie, usa, amazon, owned","to-read (#2359), non-fiction (#447), reportaże-biografie (#136), usa (#34), amazon (#130), owned (#1139)",to-read,,,,0,0
37857066,Money and Government: A Challenge to Mainstream Economics,Robert Skidelsky,"Skidelsky, Robert",,"=""0241352827""","=""9780241352823""",0,4.22,Allen Lane,Hardcover,512,2018,2018,,2022/08/13,"to-read, business-economy-capitalism","to-read (#2474), business-economy-capitalism (#38)",to-read,,,,0,0
60726434,"Nie powiem ci, że wszystko będzie dobrze",Justyna Suchecka,"Suchecka, Justyna",,"=""""","=""9788328098022""",0,4.33,W.A.B.,Hardcover,224,2022,2022,,2022/08/03,"to-read, zdrowie-psychika-ciało, empik, growth-other-selfhelp, owned","to-read (#2463), zdrowie-psychika-ciało (#111), empik (#4), growth-other-selfhelp (#70), owned (#1138)",to-read,,,,0,0
39074550,Humble Pi: A Comedy of Maths Errors,Matt    Parker,"Parker, Matt",,"=""0241360196""","=""9780241360194""",4,4.12,Allen Lane,Paperback,314,2019,2019,2021/10/05,2021/08/09,"non-fiction, popularnonaukowe, owned, świat-książki, 2021","non-fiction (#155), popularnonaukowe (#55), owned (#878), świat-książki (#21), 2021 (#27)",read,,,,1,0
46026037,Bunt wizjonerów,Jerzy Jarniewicz,"Jarniewicz, Jerzy",,"=""""","=""9788324055470""",0,3.69,Znak,Paperback,332,2019,2019,,2022/08/11,"to-read, non-fiction, publicystyka","to-read (#2472), non-fiction (#504), publicystyka (#79)",to-read,,,,0,0
61085474,Nie wszyscy pójdziemy do raju,Olga Górska,"Górska, Olga",,"=""8396469601""","=""9788396469601""",0,3.70,Drzazgi,Paperback,200,2022,2022,,2022/08/11,"to-read, artrage-bookrage, fiction, owned, lgbtqia","to-read (#2470), artrage-bookrage (#411), fiction (#241), owned (#1134), lgbtqia (#5)",to-read,,,,0,0
58200846,Próba,Joanna Bednarek,"Bednarek, Joanna",,"=""""","=""9788366586826""",0,3.12,Wydawnictwo Krytyki Politycznej,Paperback,160,2021,2021,,2022/08/11,"to-read, artrage-bookrage, fiction, owned","to-read (#2471), artrage-bookrage (#412), fiction (#242), owned (#1135)",to-read,,,,0,0
52904192,Mapa,Barbara Sadurska,"Sadurska, Barbara",,"=""""","=""9788362795918""",0,3.76,Nisza,Paperback,208,2019,2019,,2022/08/11,"to-read, artrage-bookrage, fiction, owned","to-read (#2469), artrage-bookrage (#410), fiction (#240), owned (#1133)",to-read,,,,0,0
